,ERZ,ERZ_contig,downloaded_assemblies,contig_file,extracted_contig_file,downloaded_cds,cds_file,extracted_cds_file,gff_file,extracted_gff_file
MGYC001660019901,ERZ841001,ERZ841001.17719-NODE-17719-length-4955-cov-3.19429,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ841001_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001660019901.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ841001_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001660019901.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001660019901.gff.gz,True
MGYC002629087175,ERZ1742330,ERZ1742330.161-NODE-161-length-59843-cov-27.436101,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1742330_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC002629087175.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1742330_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC002629087175.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC002629087175.gff.gz,True
MGYC000239500197,ERZ1030301,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1030301_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000239500197.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1030301_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1030301_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000239500197.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000239500197.gff.gz,False
MGYC000848738651,ERZ1034489,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1034489_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000848738651.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1034489_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1034489_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000848738651.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000848738651.gff.gz,False
MGYC001158304128,ERZ1758077,ERZ1758077.45-NODE-45-length-332632-cov-38.3959,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758077_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001158304128.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758077_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001158304128.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001158304128.gff.gz,True
MGYC001158308255,ERZ1758080,ERZ1758080.93-NODE-93-length-182388-cov-39.8332,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758080_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001158308255.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758080_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001158308255.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001158308255.gff.gz,True
MGYC001158304834,ERZ1758083,ERZ1758083.42-NODE-42-length-329062-cov-60.8333,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758083_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001158304834.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758083_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001158304834.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001158304834.gff.gz,True
MGYC001159113595,ERZ1758102,ERZ1758102.44-NODE-44-length-329062-cov-65.9948,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758102_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001159113595.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758102_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001159113595.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001159113595.gff.gz,True
MGYC001159110239,ERZ1758105,ERZ1758105.29-NODE-29-length-329062-cov-37.7838,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758105_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001159110239.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758105_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001159110239.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001159110239.gff.gz,True
MGYC001159150609,ERZ1758108,ERZ1758108.44-NODE-44-length-329062-cov-56.4055,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758108_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001159150609.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758108_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001159150609.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001159150609.gff.gz,True
